분야,대상기술,기술 설명,관계법령
기계금속(50개), 밸런싱 장비 제조 기술 , 회전부품의 불균형 질량으로 인한 진동 수준이 기준 이내가 되도록 교정하는 밸런싱 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제156항 관련)"
기계금속(50개), 가공장비 회전 부품 제조 기술 , 공작물 또는 공구를 부착하여 가공하는 회전 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제157항 관련)"
기계금속(50개), 선박용 엔진부품 제조 기술 , 대체연료와 화석연료를 동시에 사용 가능한 중·고속 엔진부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제158항 관련)"
기계금속(50개), 극저온 액체 이송용 부품 제조 기술 , 극저온 이송부품을 설계 및 제작하고 시험 Line up을 구성하는 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제159항 관련)"
기계금속(50개), 실린더 부품 제작 기술 , 유체의 힘을 이용하여 작업 장치에 움직임을 발생시키는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제160항 관련)"
기계금속(50개), 동력전달 부품 제조 기술 , 물체 사이의 마찰을 줄여 동력을 효율적으로 전달하기 위해 사용되는 부품의 설계 및 제작 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제161항 관련)"
기계금속(50개), 구동 제어부품 제작 기술 , 유압을 통해 작업장치를 제어하는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제162항 관련)"
기계금속(50개), 이음부품 제작 기술 ," 배관에 작용하는 축 방향, 측면 및 각운동 내력등에 저항력을 가지는 이음부품 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제163항 관련)"
기계금속(50개), 압연 부품 제작 기술 ," 여러 형상의 판재, 형재, 관재 등의 소재로 만들기 위한 압연 부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제164항 관련)"
기계금속(50개), 연마 소재부품 제작 기술 , 다양한 재료를 연마하는데 사용하는 소재부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제165항 관련)"
기계금속(50개), 발전용 소재부품 제조 기술 , 발전용 부품 장치 및 주변 장치에 적용되는 소재부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제166항 관련)"
기계금속(50개), 산업용 특수 강관 소재 제조 기술 , 화학물질 이송 등에 사용되는 특수 강관 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제167항 관련)"
기계금속(50개), 고융점 소재 및 부품 제조 기술 , 높은 경도와 낮은 열팽창계수를 가진 고융점 금속 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제168항 관련)"
기계금속(50개), 고강도 내마모 구리합금 제조 기술 ," 고강도, 고내마모성 구리합금 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제169항 관련)"
기계금속(50개), 고경량·고강도·내열성 비철금속 소재 제조 기술 ," 항공, 생체, 발전 부품 제조를 위한 비철금속 소재 제련, 주조, 소성가공, 후처리 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제170항 관련)"
기계금속(50개), 동합금 소재 제조 기술 , 전기전도도와 성형성을 감소시키지 않은 동합금 소재 제조 기술 [마목13)에서 이동],"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제171항 관련)"
기계금속(50개), 영구자석 소재 및 제조 기술 , 친환경자동차 등 미래 모빌리티 구현을 위한 영구자석 소재 및 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제172항 관련)"
기계금속(50개), 알루미늄 합금 제조 기술 ," 경량화-고강도-중강도 등의 다양한 알루미늄 합금 판, 시트, 박 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제173항 관련)"
기계금속(50개), 극한환경용 금속 소재·부품 제조 기술 , 극저온 물질의 저장 및 활용을 위한 합금강 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제174항 관련)"
기계금속(50개), 마그네슘 소재 제조 기술 , 친환경 공법의 마그네슘 금속 제련 및 합금 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제175항 관련)"
기계금속(50개), 전기추진선박용 고속 차단기 및 전력변환장치 제조 기술 ," 전기추진선박의 직류배전 계통 설비와 기기의 안전성 확보를 위한 고속 차단기 제조 기술, 배터리 또는 다른 직류(DC) 소스에서 전류를 입력받아 교류(AC)로 변환하거나 전압 크기를 변환하여 전기추진선박의 전기 모터에 전력을 공급하는 전력변환장치 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제176항 관련)"
기계금속(50개), 선박 항해통신 시스템 제조 기술 ," 선박 내 통신 인프라(SAN), 해상 무선통신 시스템, 지능형 항해 정보 시스템(INIS), 데이터 동기화 등 선박통신 및 데이터 분석과 관련된 장비 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제177항 관련)"
기계금속(50개), 선박 유해가스 활용 및 관리용 소재·부품·장비 제조 기술 , 선박 기관시스템의 배기가스 활용(열-전기에너지 전환 등) 및 유해가스(온난화/대기오염/독성 등) 관리를 위한 소재·부품 및 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제178항 관련)"
기계금속(50개), 극한환경용 세라믹 섬유강화 복합체 소재 제조 기술 ," 극한 환경에서 적용 가능한 극한 환경용 복합재료(CMC, Ceramic matrix Composites) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제179항 관련)"
전기전자(27개), 전류제어 부품 제조 기술 ," 전기전자 부품으로서, 자동차 전장에 적용하기 위한 고신뢰성 소재, 모듈 및 장비 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제180항 관련)"
전기전자(27개), 이차전지 패키징 소재부품 제조 기술 , 이차전지 패키징에서 기능발현에 필요한 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제181항 관련)"
전기전자(27개), 이차전지 전극 소재부품 제조 기술 , 이차전지 전극제조에서 기능발현에 필요한 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제182항 관련)"
전기전자(27개), 이차전지 분리막 제조 기술 , 이차전지 안정성에 필요한 분리막 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제183항 관련)"
전기전자(27개), 이차전지 전해액 제조 기술 , 이차전지 이온 이동 기능향상을 위한 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제184항 관련)"
전기전자(27개), 고결정성 탄소소재 제조 기술 , 열처리하여 제조한 탄소 적층 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제185항 관련)"
전기전자(27개), 자기장 감지 소재 제조 기술 , 일정한 조건하에서 자기장의 변화를 민감하게 감지하는 물질 및 디바이스 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제186항 관련)"
전기전자(27개), 압전 소재부품 제조 기술 , 전기적 신호에 따라 수축·팽창 등이 발생하는 소재부품 제조 및 공정 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제187항 관련)"
전기전자(27개), 고주파 필터 소재 제조 기술 , 고주파 저손실·저잡음 필터 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제188항 관련)"
전기전자(27개), 전기 변환 부품 제조 기술 , 전원의 주파수 등을 바꾸어 원하는 속도로 모터를 회전하는 모듈 및 산업용 기기 제조 기술 ,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제189항 관련)"
전기전자(27개), 절연 소재부품 제조 기술 , 고전압 개폐장치 내 절연소재와 계측 등 핵심 부품의 설계 및 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제190항 관련)"
전기전자(27개), 초극박 소재 제조 기술 , 전자제품용 저조도 초극박 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제191항 관련)"
전기전자(27개), 이종접합 전자부품 제조 기술 ," 이종 접합하여 고속, 고이득, 저잡음 등의 특성을 갖는 전자소자 및 광소자 구현과 이의 집적화 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제192항 관련)"
전기전자(27개), 세라믹 분말 및 응용부품 제조 기술 , 내열·내식 특성이 우수한 고순도 세라믹 분말과 응용부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제193항 관련)"
전기전자(27개), 광학 소재·부품 제조 기술 ," 유리 및 결정질, 플라스틱 등의 광학소재 기술과 이를 이용한 광학 부품·모듈 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제194항 관련)"
전기전자(27개), 양극재용 원료 소재 제조 기술 , 양극재용 원료소재 화합물을 제조하기 위한 정제 및 가공 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제195항 관련)"
전기전자(27개), 사물인식용 레이저광원 소재부품 제조 기술 , 사물인식용으로서 상부 표면에 수직한 방향으로 레이저를 방출하는 광원 및 소재·부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제196항 관련)"
전기전자(27개), 차세대전지용 리튬금속 전극 제조 기술 , 차세대전지 고성능화를 위한 리튬금속 전극 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제197항 관련)"
전기전자(27개), 차세대전지용 고체전해질 제조 기술 , 차세대전지 고안전화를 위한 고체전해질 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제198항 관련)"
전기전자(27개), 비접촉 압력 구현용 소재부품 제조 기술 , 지향성 압력 인식 장치용 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제199항 관련)"
전기전자(27개), 고성능 초저전력 가스 감지 센서 제조 기술 , 특정 파장에서 광흡수도를 측정하는 방식의 광학식 센서보다 우수한 가스 감응 특성을 발휘하면서도 제작 공정이 매우 간단한 초소형의 고성능 가스 센서 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제200항 관련)"
전기전자(27개), 전자기파 차폐 소재부품 제조 기술 , 차세대 통신에서 활용되는 전자기파를 효과적으로 제어하여 전자기파 간섭에 의한 통신 성능 저하를 최소화하는 소재부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제201항 관련)"
전기전자(27개), 의료용 레이저 시스템 및 소재부품 제조 기술 , 다파장 반도체 레이저 다이오드를 광원으로 하는 의료용 레이저 생성 장비 및 소재부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제202항 관련)"
전기전자(27개), 미래 모빌리티용 고출력 경량 태양전지 제조 기술 , 나노다공성 반도체 금속 산화물 등 기본 페브로스카이트 기반 태양전지에서 벗어나 차세대 태양전지를 개발하기 위한 신소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제203항 관련)"
기초화학(15개), 불소계 소재 제조 기술 ," 불화수소, 불화탄소와 이를 활용한 유기불소소재, 무기불소소재, 기능성코팅제, 정밀화학소재의 합성 및 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제204항 관련)"
기초화학(15개), 탄성소재 및 부품 제조 기술 ," 우수한 탄성복원력, 내마모성, 소음 및 진동 감쇠 등 성능을 가지는 탄성소재 및 부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제205항 관련)"
기초화학(15개), 점·접착 소재 제조 기술 , 특수한 성능 및 기능을 부여한 고부가 점·접착 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제206항 관련)"
기초화학(15개), 에폭시 소재 제조 기술 ," 전자부품, 수송기기, 경량복합재, 패키징 등 첨단산업에 적용이 가능한 고기능, 고부가 에폭시 소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제207항 관련)"
기초화학(15개), 도료·코팅 소재 제조 기술 ," 수송기기, 건축구조물, 전기전자부품 등에 적용 가능한 친환경, 고기능, 고부가 도료 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제208항 관련)"
기초화학(15개), 고성능 엔지니어링 플라스틱 소재 제조 기술 ," 내열성 및 기계적 물성 등이 우수한 고기능, 고부가 엔지니어링 플라스틱 원소재 중합과 복합소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제209항 관련)"
기초화학(15개), 생분해성 섬유소재 제조 기술 , 사용 후 미생물에 의해 생분해되어 자연으로 되돌아가는 생분해성 섬유소재 및 응용제품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제210항 관련)"
기초화학(15개), 화학공정 촉매 기술 , 석유화학 공정 등에서 화학물질을 제조하거나 수소 등 신에너지 생산에 필요한 고선택성 에너지저감형 촉매 제조 및 이를 이용한 공정 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제211항 관련)"
기초화학(15개), 생분해성 플라스틱 제조 기술 , 대체 석유계 플라스틱 또는 제품 맞춤형 물성과 생분해성을 동시에 보유하는 바이오 플라스틱 원료 및 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제212항 관련)"
기초화학(15개), 바이오매스 기반 섬유소재 제조 기술 , 바이오매스 유래 원료를 활용한 화학섬유 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제213항 관련)"
기초화학(15개), 셀룰로스계 섬유 제조 기술 ," 목재 등 비식용 셀룰로스계 바이오매스 자원으로부터 친환경 공법을 활용한 셀룰로스 추출 및 개질, 섬유화 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제214항 관련)"
기초화학(15개), 리사이클 섬유소재 제조 기술 ," 난분리 폐의류, 폐어망, 폐플라스틱 등 폐자원을 활용하여 물리/화학/생물학적 재활용 기술을 통한 재섬유 소재화 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제215항 관련)"
기초화학(15개), 방사유제 제조 기술 , 고성능 화학섬유 제조를 위해 고분자를 방사할 때 정전기 방지 및 사절을 방지하는 기능성 방사유제 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제216항 관련)"
기초화학(15개), 분산성염료 및 잉크 제조 기술 ," 탄소배출 저감형 친환경 고기능성 분산염료, 중간체, 잉크 및 조제 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제217항 관련)"
기초화학(15개), 경량 내구성 복합소재 제조 기술 , 모빌리티 부품 및 구조재에 적용될 수 있는 탄소섬유/엔지니어링 고분자 복합소재 중간재와 그 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제218항 관련)"
바이오(19개), 백신제조용 핵심 소재 및 제조 기술 ," 백신제조용 핵산(mRNA, DNA 등), 단백질, 바이러스 벡터 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제219항 관련)"
바이오(19개), 백신 제형화 소재 및 제조 기술 ," 백신 제형화에 필요한 지질나노입자(LNP), 면역증강제 등 기초소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제220항 관련)"
바이오(19개), 첨단바이오의약품 제조용 핵심 세포 및 소재 제조 기술 ," 세포 유전자 치료제 제조용 세포, 바이러스 벡터 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제221항 관련)"
바이오(19개), 바이오 의약품 생산용 세포 배양 소재 및 장비 제조 기술 ," 세포 배양을 위한 배양기기(바이오리액터, 담체) 및 배지 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제222항 관련)"
바이오(19개), 바이오의약품 정제공정 소재 및 제조 기술 , 단백질을 고순도로 정제하는데 사용되는 레진의 기초소재 및 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제223항 관련)"
바이오(19개), 항체-약물 접합체(ADC) 생산용 핵심 원료의약품 및 소재 제조 기술 ," 암질환 맞춤형 치료가 가능하고, 유효성 및 안정성이 개선된 항체 기반 차세대 의약품인 항체-약물 접합체(ADC; Antibody-Drug Conjugates) 생산을 위한 핵심 원료의약품(이중항체, 다중항체) 및 소재(링커, 저분자화합물) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제224항 관련)"
바이오(19개), 합성의약품 연속 생산 시스템 제조 기술 ," 화학합성의약품의 생산성 및 품질 증진을 위한 자동화 기반의 연속생산 시스템으로서, 3개 단위공정 이상 연속생산 모듈형 장비 및 통합시스템(SW 포함) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제225항 관련)"
바이오(19개)," 바이오의약품 생산용 디지털트윈 부품 및 장비, SW 제조 기술 "," 바이오의약품 연속제조공정에 쓰이는 필수 단위 조작(연속반응기, 크로마토그래피 등)에 대한 디지털트윈 기반의 가상물리솔루션 및 장비, 품질 모니터링 부품, 센서 모듈, 가상화 소프트웨어가 포함된 통합시스템 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제226항 관련)"
바이오(19개)," 바이오파운드리용 초고속, 대량생산 핵심 장비 제조 기술 "," 합성생물학 기반의 바이오파운드리 ‘설계-제작-시험-학습’ 파이프라인에 적용되어 유전자·단백질·미생물의 초고속, 대량생산에 활용되는 유전자 합성·분석 기기, 미생물 분리·분석 기기, 미생물 배양공정 자동화기기의 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제227항 관련)"
바이오(19개), 바이오매스 유래 기능성소재 바이오 제조 기술 ," 인체의 건강유지 및 노화방지 기능을 갖는 활성 물질을 바이오매스 유래의 천연물질을 원료로 이용하여 파일럿 스케일 이상의 바이오공정(발효, 생물전환, 효소반응 등) 기반으로 생산하는 바이오 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제228항 관련)"
바이오(19개), 바이오의약품 경구용 제형화 기술 ," 바이오의약품의 안정성과 투여 불편함의 문제점, 낮은 경구흡수율을 극복하기 위한 생체내 안정화 제형 기술, 생체 점막 투과 촉진 기술 및 나노 제형 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제229항 관련)"
